connnode,c2,c1,c0,PgMax,PgMin,RgMax,RgMin
2,0,100,0,168.0979919,0,100,-100
2,0,120,0,111.7991409,0,100,-100
2,0,80,0,692.8796024,0,100,-100
8,0,100,0,115.3892975,0,100,-100
8,0,100,0,196.5891724,0,100,-100
8,0,120,0,76.74347687,0,100,-100
8,0,120,0,130.7481537,0,100,-100
8,0,80,0,346.9602268,0,100,-100
8,0,80,0,591.1174685,0,100,-100
9,0,100,0,22.0806694,0,100,-100
9,0,120,0,14.68548012,0,100,-100
9,0,80,0,66.3936275,0,100,-100
11,0,5,0,1428.049816,0,100,-100
12,0,100,0,7.97753191,0,100,-100
12,0,120,0,5.30572176,0,100,-100
12,0,80,0,23.98737447,0,100,-100
13,0,100,0,8.547355652,0,100,-100
13,0,120,0,5.68470192,0,100,-100
13,0,5,0,1277.411646,0,100,-100
13,0,5,0,1494.330675,0,100,-100
13,0,80,0,25.70075768,0,100,-100
14,0,100,0,7.97753191,0,100,-100
14,0,100,0,129.6348877,0,100,-100
14,0,120,0,5.30572176,0,100,-100
14,0,120,0,86.21797943,0,100,-100
14,0,80,0,23.98737447,0,100,-100
14,0,80,0,389.7948242,0,100,-100
16,0,100,0,7.122796535,0,100,-100
16,0,120,0,4.737251759,0,100,-100
16,0,80,0,21.4172987,0,100,-100
17,0,100,0,189.751297,0,100,-100
17,0,100,0,194.4523468,0,100,-100
17,0,100,0,104.7051086,0,100,-100
17,0,100,0,170.947113,0,100,-100
17,0,100,0,63.39288712,0,100,-100
17,0,100,0,178.3548126,0,100,-100
17,0,120,0,126.200386,0,100,-100
17,0,120,0,129.3269653,0,100,-100
17,0,120,0,69.63760376,0,100,-100
17,0,120,0,113.6940384,0,100,-100
17,0,120,0,42.16154099,0,100,-100
17,0,120,0,118.6207809,0,100,-100
18,0,80,0,570.5568472,0,100,-100
18,0,80,0,584.6922668,0,100,-100
18,0,80,0,314.8342788,0,100,-100
18,0,80,0,514.0151689,0,100,-100
18,0,80,0,190.6139645,0,100,-100
18,0,80,0,536.2891449,0,100,-100
18,0,100,0,57.97956085,0,100,-100
18,0,100,0,252.4319,0,100,-100
18,0,120,0,38.56122971,0,100,-100
18,0,120,0,167.8881989,0,100,-100
18,0,80,0,174.336806,0,100,-100
18,0,80,0,759.0290879,0,100,-100
19,0,100,0,102.995636,0,100,-100
19,0,120,0,68.50065613,0,100,-100
19,0,80,0,309.6941538,0,100,-100
20,0,100,0,74.07707977,0,100,-100
20,0,100,0,121.0875397,0,100,-100
20,0,100,0,313.2605896,0,100,-100
20,0,100,0,175.7906189,0,100,-100
20,0,120,0,49.26741791,0,100,-100
20,0,120,0,80.53327942,0,100,-100
20,0,120,0,208.3443298,0,100,-100
20,0,120,0,116.9153748,0,100,-100
20,0,80,0,222.7399126,0,100,-100
20,0,80,0,364.094078,0,100,-100
20,0,80,0,941.9328043,0,100,-100
20,0,80,0,528.5789271,0,100,-100
21,0,100,0,59.83148956,0,100,-100
21,0,120,0,39.79291534,0,100,-100
21,0,80,0,179.9053152,0,100,-100
22,0,100,0,114.6770172,0,100,-100
22,0,100,0,113.9647446,0,100,-100
22,0,100,0,107.5542221,0,100,-100
22,0,100,0,216.1056366,0,100,-100
22,0,120,0,76.2697525,0,100,-100
22,0,120,0,75.79602814,0,100,-100
22,0,120,0,71.53250122,0,100,-100
22,0,120,0,143.7282104,0,100,-100
22,0,80,0,344.818503,0,100,-100
22,0,80,0,342.6767793,0,100,-100
22,0,80,0,323.4012043,0,100,-100
22,0,80,0,649.8008402,0,100,-100
23,0,100,0,116.671402,0,100,-100
23,0,100,0,135.3331299,0,100,-100
23,0,120,0,77.59618378,0,100,-100
23,0,120,0,90.00778198,0,100,-100
23,0,80,0,350.8153661,0,100,-100
23,0,80,0,406.9286754,0,100,-100
24,0,100,0,101.8559875,0,100,-100
24,0,120,0,67.74269867,0,100,-100
24,0,80,0,306.2673836,0,100,-100
25,0,100,0,58.12201691,0,100,-100
25,0,120,0,38.65597534,0,100,-100
25,0,80,0,174.7651599,0,100,-100
26,0,100,0,128.9226074,0,100,-100
26,0,120,0,85.74425507,0,100,-100
26,0,80,0,387.6531005,0,100,-100
27,0,100,0,59.83148956,0,100,-100
27,0,100,0,127.9254227,0,100,-100
27,0,120,0,39.79291534,0,100,-100
27,0,120,0,85.08103943,0,100,-100
27,0,80,0,179.9053152,0,100,-100
27,0,80,0,384.6546993,0,100,-100
29,0,100,0,206.5610962,0,100,-100
29,0,120,0,137.3802948,0,100,-100
29,0,80,0,621.1016624,0,100,-100
