bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1,1,2036.63,409.54,0,0,1,1,0,400,1,1.1,0.9
2,1,1734.71,228.96,0,0,1,1,0,400,1,1.1,0.9
3,1,877.9,89.24,0,0,1,1,0,400,1,1.1,0.9
4,1,1334.16,170.79,0,0,1,1,0,400,1,1.1,0.9
5,1,1701.55,341.88,0,0,1,1,0,400,1,1.1,0.9
6,1,1244.77,163.58,0,0,1,1,0,400,1,1.1,0.9
7,1,1341.61,244.76,0,0,1,1,0,400,1,1.1,0.9
8,1,3669.5,637.38,0,0,1,1,0,400,1,1.1,0.9
9,1,1960.02,362.35,0,0,1,1,0,400,1,1.1,0.9
10,1,490.68,82.59,0,0,1,1,0,400,1,1.1,0.9
11,1,474.51,88.26,0,0,1,1,0,400,1,1.1,0.9
12,1,1518.23,421.96,0,0,1,1,0,400,1,1.1,0.9
13,1,2429.02,546.6,0,0,1,1,0,400,1,1.1,0.9
14,1,1614.73,264.67,0,0,1,1,0,400,1,1.1,0.9
14A,1,455.7,73.68,0,0,1,1,0,400,1,1.1,0.9
15,1,2584.23,399.68,0,0,1,1,0,400,1,1.1,0.9
16,1,184.39,29.95,0,0,1,1,0,400,1,1.1,0.9
17,1,161.82,27.26,0,0,1,1,0,400,1,1.1,0.9
18,1,1088.33,225.71,0,0,1,1,0,400,1,1.1,0.9
19,1,646.27,118.79,0,0,1,1,0,400,1,1.1,0.9
20,1,2079.47,431.91,0,0,1,1,0,400,1,1.1,0.9
21,1,1384.61,161.62,0,0,1,1,0,400,1,1.1,0.9
22,1,674.35,154.19,0,0,1,1,0,400,1,1.1,0.9
23,1,1973.87,373.93,0,0,1,1,0,400,1,1.1,0.9
24,1,571.88,120.22,0,0,1,1,0,400,1,1.1,0.9
25,1,717.98,95.21,0,0,1,1,0,400,1,1.1,0.9
25A,1,989.55,181.43,0,0,1,1,0,400,1,1.1,0.9
26,1,170.46,55.44,0,0,1,1,0,400,1,1.1,0.9
27E,1,598.87,119.36,0,0,1,1,0,400,1,1.1,0.9
27W,1,827.02,164.84,0,0,1,1,0,400,1,1.1,0.9
28,1,1680.03,475.54,0,0,1,1,0,400,1,1.1,0.9
29,1,563.53,112.32,0,0,1,1,0,400,1,1.1,0.9
30,1,376.51,78.24,0,0,1,1,0,400,1,1.1,0.9
31,1,59.36,10.56,0,0,1,1,0,400,1,1.1,0.9
32,1,375.31,66.77,0,0,1,1,0,400,1,1.1,0.9
33,1,408.45,90.41,0,0,1,1,0,400,1,1.1,0.9
1,2,2036.63,409.54,0,0,1,1,0,400,1,1.1,0.9
2,2,1734.71,228.96,0,0,1,1,0,400,1,1.1,0.9
3,2,877.9,89.24,0,0,1,1,0,400,1,1.1,0.9
4,2,1334.16,170.79,0,0,1,1,0,400,1,1.1,0.9
5,2,1701.55,341.88,0,0,1,1,0,400,1,1.1,0.9
6,2,1244.77,163.58,0,0,1,1,0,400,1,1.1,0.9
7,2,1341.61,244.76,0,0,1,1,0,400,1,1.1,0.9
8,2,3669.5,637.38,0,0,1,1,0,400,1,1.1,0.9
9,2,1960.02,362.35,0,0,1,1,0,400,1,1.1,0.9
10,2,490.68,82.59,0,0,1,1,0,400,1,1.1,0.9
11,2,474.51,88.26,0,0,1,1,0,400,1,1.1,0.9
12,2,1518.23,421.96,0,0,1,1,0,400,1,1.1,0.9
13,2,2429.02,546.6,0,0,1,1,0,400,1,1.1,0.9
14,2,1614.73,264.67,0,0,1,1,0,400,1,1.1,0.9
14A,2,455.7,73.68,0,0,1,1,0,400,1,1.1,0.9
15,2,2584.23,399.68,0,0,1,1,0,400,1,1.1,0.9
16,2,184.39,29.95,0,0,1,1,0,400,1,1.1,0.9
17,2,161.82,27.26,0,0,1,1,0,400,1,1.1,0.9
18,2,1088.33,225.71,0,0,1,1,0,400,1,1.1,0.9
19,2,646.27,118.79,0,0,1,1,0,400,1,1.1,0.9
20,2,2079.47,431.91,0,0,1,1,0,400,1,1.1,0.9
21,2,1384.61,161.62,0,0,1,1,0,400,1,1.1,0.9
22,2,674.35,154.19,0,0,1,1,0,400,1,1.1,0.9
23,2,1973.87,373.93,0,0,1,1,0,400,1,1.1,0.9
24,2,571.88,120.22,0,0,1,1,0,400,1,1.1,0.9
25,2,717.98,95.21,0,0,1,1,0,400,1,1.1,0.9
25A,2,989.55,181.43,0,0,1,1,0,400,1,1.1,0.9
26,2,170.46,55.44,0,0,1,1,0,400,1,1.1,0.9
27E,2,598.87,119.36,0,0,1,1,0,400,1,1.1,0.9
27W,2,827.02,164.84,0,0,1,1,0,400,1,1.1,0.9
28,2,1680.03,475.54,0,0,1,1,0,400,1,1.1,0.9
29,2,563.53,112.32,0,0,1,1,0,400,1,1.1,0.9
30,2,376.51,78.24,0,0,1,1,0,400,1,1.1,0.9
31,2,59.36,10.56,0,0,1,1,0,400,1,1.1,0.9
32,2,375.31,66.77,0,0,1,1,0,400,1,1.1,0.9
33,2,408.45,90.41,0,0,1,1,0,400,1,1.1,0.9
