fbus,tbus,flow
1,2,-1.5868336696437228e11
1,5,-9.372659033784798e8
2,3,3.4265448565743884e11
2,6,3.87506611178811e10
3,10,-5.948935071567332e10
4,5,2.1556477136779428e11
4,6,1.8272271083148984e11
4,14,1.5349173209674387e11
5,6,1.242457025700651e9
5,14,1.6376921581354398e8
6,7,-5.511565257006617e10
6,13,-7.604050627475475e7
7,8,1.7141595983775238e11
7,9,5.2850435209016914e10
7,10,1.588178795621635e10
8,9,-1.2075337787201332e10
8,10,-7.244488597744743e10
8,13,-2.6196672527636795e10
9,11,-3.661763984271747e7
9,13,-4.616565475474408e8
10,11,-2.826381979831181e8
11,12,-1.5053408056901271e9
11,13,-6.429282029012007e8
12,13,3.9890683233980507e8
12,16,-4.650173328044525e8
13,34,-1.8406003195223904e11
13,17,1.1619543344086013e9
14,15,-1.0564683350045301e8
33,14,-4.669760539160741e8
33,15,-1.5376786498976818e8
33,16,-3.61533617753127e8
33,17,4.660916591158577e7
15,19,1.0090194746114063e9
15,20,2.0279127077977887e8
16,17,3.452139563441806e7
16,18,2.6066667300139847e9
16,24,1.855225331826102e8
17,24,-1.513021442798144e8
18,20,-3.4917820266127974e8
18,23,-1.4142025668447068e9
19,20,-1.968376638999678e7
19,21,-5.604624579199995e7
19,27,-0.0
20,22,2.8269547039996672e7
20,23,-7.511199578887036e7
21,22,7.776682368e6
22,26,-6.56146870944251e8
22,36,-0.0
23,24,-4.8255026635113865e7
23,34,-7.827157870943843e11
23,26,-5.2002277383000004e8
24,32,0.0
25,34,-3.010331816870119e11
25,26,-2.1335912065296185e8
25,35,2.3939301833189365e10
25,35,0.0
26,36,7.664451162221596e7
26,28,-4.3710860078471405e10
35,29,-1.044778021843591e10
36,35,1.333793124726718e10
36,27,-3.1491359047676697e11
36,28,-6.744832316067841e9
27,28,1.1209583985035677e11
27,31,1.7329151335768555e11
27,32,0.0
27,31,1.9232023818341037e11
27,33,1.1792991584357697e11
30,31,-2.0756984911436884e11
31,32,7.770913178394628e7
31,33,1.7132727268143684e8
32,33,3.139538626312666e8
2,1,1.5868336696437228e11
5,1,9.372659033784798e8
3,2,-3.4265448565743884e11
6,2,-3.87506611178811e10
10,3,5.948935071567332e10
5,4,-2.1556477136779428e11
6,4,-1.8272271083148984e11
14,4,-1.5349173209674387e11
6,5,-1.242457025700651e9
14,5,-1.6376921581354398e8
7,6,5.511565257006617e10
13,6,7.604050627475475e7
8,7,-1.7141595983775238e11
9,7,-5.2850435209016914e10
10,7,-1.588178795621635e10
9,8,1.2075337787201332e10
10,8,7.244488597744743e10
13,8,2.6196672527636795e10
11,9,3.661763984271747e7
13,9,4.616565475474408e8
11,10,2.826381979831181e8
12,11,1.5053408056901271e9
13,11,6.429282029012007e8
13,12,-3.9890683233980507e8
16,12,4.650173328044525e8
34,13,1.8406003195223904e11
17,13,-1.1619543344086013e9
15,14,1.0564683350045301e8
14,33,4.669760539160741e8
15,33,1.5376786498976818e8
16,33,3.61533617753127e8
17,33,-4.660916591158577e7
19,15,-1.0090194746114063e9
20,15,-2.0279127077977887e8
17,16,-3.452139563441806e7
18,16,-2.6066667300139847e9
24,16,-1.855225331826102e8
24,17,1.513021442798144e8
20,18,3.4917820266127974e8
23,18,1.4142025668447068e9
20,19,1.968376638999678e7
21,19,5.604624579199995e7
27,19,0.0
22,20,-2.8269547039996672e7
23,20,7.511199578887036e7
22,21,-7.776682368e6
26,22,6.56146870944251e8
36,22,0.0
24,23,4.8255026635113865e7
34,23,7.827157870943843e11
26,23,5.2002277383000004e8
32,24,-0.0
34,25,3.010331816870119e11
26,25,2.1335912065296185e8
35,25,-2.3939301833189365e10
35,25,-0.0
36,26,-7.664451162221596e7
28,26,4.3710860078471405e10
29,35,1.044778021843591e10
35,36,-1.333793124726718e10
27,36,3.1491359047676697e11
28,36,6.744832316067841e9
28,27,-1.1209583985035677e11
31,27,-1.7329151335768555e11
32,27,-0.0
31,27,-1.9232023818341037e11
33,27,-1.1792991584357697e11
31,30,2.0756984911436884e11
32,31,-7.770913178394628e7
33,31,-1.7132727268143684e8
33,32,-3.139538626312666e8
